leaf_id,parent_id,priority,rank,wave,kind,modules,title,status,primary_bytes,primary_packet,depends_on
CTX-01.02,CTX-01,P1,1,2,implementation,task-pipeline,Attempt and result schemas,planned,4062,audit://external-v3/leaves/CTX-01.02.md,CTX-01.01
FIX-AS-01.02,FIX-AS-01,P1,1,2,implementation,agent-stack,Reconciliation and serialization,planned,4903,audit://external-v3/leaves/FIX-AS-01.02.md,FIX-AS-01.01
FIX-EV-01.01,FIX-EV-01,P1,1,2,implementation,sshlg-skills,Outcome harness contract,planned,4325,audit://external-v3/leaves/FIX-EV-01.01.md,
FIX-SE-02.01,FIX-SE-02,P1,1,2,implementation,seo-aeo-audit,Любая manual action объявлена обнулением всех улучшений сайта,planned,5423,audit://external-v3/leaves/FIX-SE-02.01.md,
FIX-DV-02.01,FIX-DV-02,P1,0,3,implementation,sheleg-dev,Unique subscription grant,planned,6022,audit://external-v3/leaves/FIX-DV-02.01.md,
FIX-SY-02.01,FIX-SY-02,P1,0,3,implementation,agent-sync,Общий last-renew позволяет активности одного агента подавлять продление чужих leases,planned,5387,audit://external-v3/leaves/FIX-SY-02.01.md,
FIX-TG-03.01,FIX-TG-03,P1,0,3,implementation,telegram-dev,Separate canonicalizers,planned,6102,audit://external-v3/leaves/FIX-TG-03.01.md,
ADOPT-M-03.01,ADOPT-M-03,P2,1,3,implementation,make-skill,Подключить outcome reference кmake-skill,planned,6581,audit://external-v3/leaves/ADOPT-M-03.01.md,ADOPT-M-02.01
ADOPT-M-08.01,ADOPT-M-08,P2,1,3,implementation,super-ux,Добавить сравнениеbehavioralconcepts,planned,6983,audit://external-v3/leaves/ADOPT-M-08.01.md,
CTX-01.03,CTX-01,P1,1,3,implementation,task-pipeline,Typed dependency and graph closure,planned,4010,audit://external-v3/leaves/CTX-01.03.md,CTX-01.02
FIX-AS-02.01,FIX-AS-02,P1,1,3,implementation,agent-stack,Нулевой baseline путается с отсутствующим: первый реальный расход теряется,planned,5149,audit://external-v3/leaves/FIX-AS-02.01.md,
FIX-DS-01.01,FIX-DS-01,P1,1,3,implementation,sheleg-design,Semantic token adapter,planned,7890,audit://external-v3/leaves/FIX-DS-01.01.md,
FIX-EV-01.15,FIX-EV-01,P1,1,3,verification,seo-aeo-audit,Outcome corpus: seo-aeo-audit,planned,5947,audit://external-v3/leaves/FIX-EV-01.15.md,FIX-EV-01.01
FIX-RT-01.01,FIX-RT-01,P1,1,3,implementation,sshlg-skills,Typed intent contract,planned,5395,audit://external-v3/leaves/FIX-RT-01.01.md,
FIX-DV-02.02,FIX-DV-02,P1,0,4,implementation,sheleg-dev,Monotonic mirror и serialization retry,planned,6255,audit://external-v3/leaves/FIX-DV-02.02.md,FIX-DV-02.01
FIX-SY-03.01,FIX-SY-03,P1,0,4,implementation,agent-sync,One local ownership critical section,planned,4709,audit://external-v3/leaves/FIX-SY-03.01.md,
FIX-TG-03.02,FIX-TG-03,P1,0,4,implementation,telegram-dev,Strict input boundaries,planned,4930,audit://external-v3/leaves/FIX-TG-03.02.md,FIX-TG-03.01
CTX-02.01,CTX-02,P1,1,4,implementation,task-pipeline,Finding-to-parent mapper,planned,4408,audit://external-v3/leaves/CTX-02.01.md,"CTX-01.01,CTX-01.02,CTX-01.03"
CTX-03.01,CTX-03,P1,1,4,implementation,super-ux,Bounded scenario graph,planned,3945,audit://external-v3/leaves/CTX-03.01.md,
FIX-AS-03.01,FIX-AS-03,P1,1,4,implementation,agent-stack,Memory identity and contradiction,planned,5545,audit://external-v3/leaves/FIX-AS-03.01.md,
FIX-DS-01.02,FIX-DS-01,P1,1,4,implementation,sheleg-design,Rendered pack comparison,planned,5386,audit://external-v3/leaves/FIX-DS-01.02.md,FIX-DS-01.01
FIX-EV-01.13,FIX-EV-01,P1,1,4,verification,make-skill,Outcome corpus: make-skill,planned,6459,audit://external-v3/leaves/FIX-EV-01.13.md,FIX-EV-01.01
FIX-RT-01.02,FIX-RT-01,P1,1,4,implementation,sshlg-skills,Composition и отрицания,planned,5492,audit://external-v3/leaves/FIX-RT-01.02.md,FIX-RT-01.01
FIX-SE-03.01,FIX-SE-03,P2,2,4,implementation,seo-aeo-audit,Cross-track проверка объявляет совместимые наблюдения противоречием,planned,5404,audit://external-v3/leaves/FIX-SE-03.01.md,
FIX-DV-03.01,FIX-DV-03,P1,0,5,implementation,sheleg-dev,Durable operation intent,planned,4576,audit://external-v3/leaves/FIX-DV-03.01.md,
FIX-SY-03.02,FIX-SY-03,P1,0,5,implementation,agent-sync,Fence-aware renewal,planned,4788,audit://external-v3/leaves/FIX-SY-03.02.md,FIX-SY-03.01
CTX-02.02,CTX-02,P1,1,5,implementation,task-pipeline,Leaf compiler,planned,7675,audit://external-v3/leaves/CTX-02.02.md,"CTX-02.01,CTX-01.01,CTX-01.02,CTX-01.03"
CTX-03.02,CTX-03,P1,1,5,implementation,super-ux,Clickable flow fixture,planned,4038,audit://external-v3/leaves/CTX-03.02.md,CTX-03.01
FIX-AS-03.02,FIX-AS-03,P1,1,5,implementation,agent-stack,Temporal evidence lifecycle,planned,4893,audit://external-v3/leaves/FIX-AS-03.02.md,FIX-AS-03.01
FIX-EV-01.14,FIX-EV-01,P1,1,5,verification,sheleg-design,Outcome corpus: sheleg-design,planned,12931,audit://external-v3/leaves/FIX-EV-01.14.md,FIX-EV-01.01
FIX-EV-01.27,FIX-EV-01,P1,1,5,verification,telegram-dev,Outcome corpus: telegram-bots,planned,4797,audit://external-v3/leaves/FIX-EV-01.27.md,FIX-EV-01.01
FIX-MS-01.01,FIX-MS-01,P1,1,5,implementation,make-skill,Honest token result,planned,5146,audit://external-v3/leaves/FIX-MS-01.01.md,
FIX-RT-02.01,FIX-RT-02,P1,1,5,implementation,sshlg-skills,Route-scoped waiver state,planned,4649,audit://external-v3/leaves/FIX-RT-02.01.md,
FIX-SE-04.01,FIX-SE-04,P2,2,5,implementation,seo-aeo-audit,Тип источника автоматически подменяет силу конкретного утверждения,planned,9200,audit://external-v3/leaves/FIX-SE-04.01.md,
FIX-DV-03.02,FIX-DV-03,P1,0,6,implementation,sheleg-dev,Reconcile-first compensation,planned,4798,audit://external-v3/leaves/FIX-DV-03.02.md,FIX-DV-03.01
FIX-SY-04.01,FIX-SY-04,P1,0,6,implementation,agent-sync,Resource identity,planned,5031,audit://external-v3/leaves/FIX-SY-04.01.md,
CTX-02.03,CTX-02,P1,1,6,implementation,task-pipeline,Content-addressed export/import,planned,4637,audit://external-v3/leaves/CTX-02.03.md,"CTX-02.02,CTX-01.01,CTX-01.02,CTX-01.03"
CTX-03.03,CTX-03,P1,1,6,implementation,super-ux,Coverage and handoff receipt,planned,5462,audit://external-v3/leaves/CTX-03.03.md,CTX-03.02
FIX-AS-04.01,FIX-AS-04,P1,1,6,implementation,agent-stack,"Fake-edge test удаляет зависимости по управлению и состоянию, если нет явного payload",planned,7451,audit://external-v3/leaves/FIX-AS-04.01.md,"CTX-01.01,CTX-01.02,CTX-01.03"
FIX-EV-01.28,FIX-EV-01,P1,1,6,verification,telegram-dev,Outcome corpus: telegram-miniapps,planned,4968,audit://external-v3/leaves/FIX-EV-01.28.md,FIX-EV-01.01
FIX-MS-01.02,FIX-MS-01,P1,1,6,implementation,make-skill,Tokenizer corpus,planned,5193,audit://external-v3/leaves/FIX-MS-01.02.md,FIX-MS-01.01
FIX-RT-02.02,FIX-RT-02,P1,1,6,implementation,sshlg-skills,Waiver lifecycle,planned,5849,audit://external-v3/leaves/FIX-RT-02.02.md,FIX-RT-02.01
FIX-VD-01.01,FIX-VD-01,P1,1,6,implementation,sheleg-design,Invariant/open-axis split,planned,7597,audit://external-v3/leaves/FIX-VD-01.01.md,
FIX-DV-04.01,FIX-DV-04,P1,0,7,implementation,sheleg-dev,Refund CAS проигрыш молча теряет больший cumulative refund,planned,4910,audit://external-v3/leaves/FIX-DV-04.01.md,
FIX-SY-04.02,FIX-SY-04,P1,0,7,implementation,"agent-sync,agent-stack",Write-mode documentation,planned,6626,audit://external-v3/leaves/FIX-SY-04.02.md,FIX-SY-04.01
CTX-02.04,CTX-02,P1,1,7,implementation,task-pipeline,Pre-dispatch freshness and budget,planned,4666,audit://external-v3/leaves/CTX-02.04.md,"CTX-02.03,CTX-01.01,CTX-01.02,CTX-01.03"
FIX-EV-01.02,FIX-EV-01,P1,1,7,verification,super-ux,Outcome corpus: brand-voice,planned,5593,audit://external-v3/leaves/FIX-EV-01.02.md,FIX-EV-01.01
FIX-EV-01.29,FIX-EV-01,P1,1,7,verification,telegram-dev,Outcome corpus: telegram-userbots,planned,4944,audit://external-v3/leaves/FIX-EV-01.29.md,FIX-EV-01.01
FIX-MS-02.01,FIX-MS-02,P1,1,7,implementation,make-skill,Dependency-free YAML subset,planned,5051,audit://external-v3/leaves/FIX-MS-02.01.md,
FIX-UP-01.01,FIX-UP-01,P1,1,7,implementation,sshlg-skills,Immutable release-set lock,planned,6067,audit://external-v3/leaves/FIX-UP-01.01.md,
FIX-VD-02.01,FIX-VD-02,P1,1,7,implementation,sheleg-design,Actionable render critique,planned,6109,audit://external-v3/leaves/FIX-VD-02.01.md,
FIX-DV-05.01,FIX-DV-05,P1,0,8,implementation,sheleg-dev,Confirmed settlement grant,planned,6055,audit://external-v3/leaves/FIX-DV-05.01.md,
FIX-SY-05.01,FIX-SY-05,P1,0,8,implementation,agent-sync,Пустой lock между O_EXCL и payload принимается за просроченный: два acquire выигрывают,planned,5495,audit://external-v3/leaves/FIX-SY-05.01.md,
ADOPT-M-14.01,ADOPT-M-14,P2,1,8,implementation,task-pipeline,ДобавитьUIhandoff section вpacket doctrine,planned,5608,audit://external-v3/leaves/ADOPT-M-14.01.md,"CTX-02.01,CTX-02.02,CTX-02.03,CTX-02.04"
FIX-AS-06.01,FIX-AS-06,P1,1,8,implementation,agent-stack,Первый релиз фактически остаётся без исполняемого eval-корпуса,planned,8627,audit://external-v3/leaves/FIX-AS-06.01.md,
FIX-EV-01.03,FIX-EV-01,P1,1,8,verification,super-ux,Outcome corpus: copywriting,planned,6936,audit://external-v3/leaves/FIX-EV-01.03.md,FIX-EV-01.01
FIX-MS-02.02,FIX-MS-02,P1,1,8,implementation,make-skill,Optional full parser conformance,planned,5121,audit://external-v3/leaves/FIX-MS-02.02.md,FIX-MS-02.01
FIX-UP-01.02,FIX-UP-01,P1,1,8,implementation,sshlg-skills,Pinned payload resolution,planned,5817,audit://external-v3/leaves/FIX-UP-01.02.md,FIX-UP-01.01
FIX-VD-02.02,FIX-VD-02,P1,1,8,implementation,sheleg-design,Bounded rerender comparison,planned,7495,audit://external-v3/leaves/FIX-VD-02.02.md,FIX-VD-02.01
FIX-TG-02.01,FIX-TG-02,P2,2,8,implementation,telegram-dev,Оmitted allowed_updates ошибочно приравнен к пустому списку,planned,6311,audit://external-v3/leaves/FIX-TG-02.01.md,
FIX-DV-05.02,FIX-DV-05,P1,0,9,implementation,sheleg-dev,Refund and hold lifecycle,planned,5038,audit://external-v3/leaves/FIX-DV-05.02.md,FIX-DV-05.01
FIX-AS-07.01,FIX-AS-07,P1,1,9,implementation,agent-stack,Запрет проверки порядка пропускает подтверждение после действия,planned,5247,audit://external-v3/leaves/FIX-AS-07.01.md,
FIX-EV-01.04,FIX-EV-01,P1,1,9,verification,super-ux,Outcome corpus: ux-audit,planned,7404,audit://external-v3/leaves/FIX-EV-01.04.md,FIX-EV-01.01
FIX-EV-01.09,FIX-EV-01,P1,1,9,verification,task-pipeline,Outcome corpus: evidence-docs,planned,4787,audit://external-v3/leaves/FIX-EV-01.09.md,FIX-EV-01.01
FIX-EV-01.12,FIX-EV-01,P1,1,9,verification,agent-sync,Outcome corpus: agent-sync,planned,7424,audit://external-v3/leaves/FIX-EV-01.12.md,FIX-EV-01.01
FIX-MS-03.01,FIX-MS-03,P1,1,9,implementation,make-skill,Аудит по описанию автоматически превращается в исправление и release,planned,5387,audit://external-v3/leaves/FIX-MS-03.01.md,
FIX-UP-01.03,FIX-UP-01,P1,1,9,implementation,sshlg-skills,Update observation states,planned,5227,audit://external-v3/leaves/FIX-UP-01.03.md,FIX-UP-01.02
FIX-VD-03.01,FIX-VD-03,P1,1,9,implementation,sheleg-design,Platform/renderer contract,planned,6799,audit://external-v3/leaves/FIX-VD-03.01.md,
FIX-TG-04.01,FIX-TG-04,P2,2,9,implementation,telegram-dev,Матрица launch surfaces неверно запрещает menu-button query flow,planned,6473,audit://external-v3/leaves/FIX-TG-04.01.md,
FIX-DV-07.01,FIX-DV-07,P1,0,10,implementation,sheleg-dev,Opaque browser session,planned,4563,audit://external-v3/leaves/FIX-DV-07.01.md,
FIX-UP-05.01,FIX-UP-05,P1,0,10,implementation,sshlg-skills,Transaction writer contract,planned,5106,audit://external-v3/leaves/FIX-UP-05.01.md,"FIX-UP-01.01,FIX-UP-01.02,FIX-UP-01.03"
FIX-AS-09.01,FIX-AS-09,P1,1,10,implementation,agent-stack,Extensible OTel fields,planned,4971,audit://external-v3/leaves/FIX-AS-09.01.md,
FIX-EV-01.05,FIX-EV-01,P1,1,10,verification,super-ux,Outcome corpus: ux-flows,planned,6652,audit://external-v3/leaves/FIX-EV-01.05.md,FIX-EV-01.01
FIX-EV-01.10,FIX-EV-01,P1,1,10,verification,task-pipeline,Outcome corpus: project-audit,planned,5924,audit://external-v3/leaves/FIX-EV-01.10.md,FIX-EV-01.01
FIX-VD-03.02,FIX-VD-03,P1,1,10,implementation,sheleg-design,Native state matrix,planned,7436,audit://external-v3/leaves/FIX-VD-03.02.md,FIX-VD-03.01
PXS-01.01,PXS-01,P2,1,10,implementation,make-skill,Добавить source/runtime contract для внешних заимствований,planned,6832,audit://external-v3/leaves/PXS-01.01.md,
FIX-SY-07.01,FIX-SY-07,P2,2,10,implementation,agent-sync,"Guard охватывает редактор и некоторые git commit, но не все записи через shell",planned,6381,audit://external-v3/leaves/FIX-SY-07.01.md,
FIX-TG-05.01,FIX-TG-05,P2,2,10,implementation,telegram-dev,Лимит одного FloodWait не ограничивает бесконечную retry sequence,planned,5951,audit://external-v3/leaves/FIX-TG-05.01.md,
FIX-DV-07.02,FIX-DV-07,P1,0,11,implementation,sheleg-dev,Secret handling edges,planned,5407,audit://external-v3/leaves/FIX-DV-07.02.md,FIX-DV-07.01
FIX-UP-05.02,FIX-UP-05,P1,0,11,implementation,task-pipeline,Task-pipeline installer adapter,planned,6104,audit://external-v3/leaves/FIX-UP-05.02.md,"FIX-UP-05.01,FIX-UP-01.01,FIX-UP-01.02,FIX-UP-01.03"
FIX-UP-05.03,FIX-UP-05,P1,0,11,implementation,sheleg-design,Design installer adapter,planned,8346,audit://external-v3/leaves/FIX-UP-05.03.md,"FIX-UP-05.01,FIX-UP-01.01,FIX-UP-01.02,FIX-UP-01.03"
FIX-AS-09.02,FIX-AS-09,P1,1,11,implementation,agent-stack,Disjoint billing buckets,planned,5107,audit://external-v3/leaves/FIX-AS-09.02.md,FIX-AS-09.01
FIX-EV-01.06,FIX-EV-01,P1,1,11,verification,super-ux,Outcome corpus: ux-foundation,planned,6657,audit://external-v3/leaves/FIX-EV-01.06.md,FIX-EV-01.01
FIX-VD-03.03,FIX-VD-03,P1,1,11,implementation,sshlg-skills,Host/platform tool selection,planned,5498,audit://external-v3/leaves/FIX-VD-03.03.md,FIX-VD-03.02
FIX-MS-04.01,FIX-MS-04,P2,2,11,implementation,make-skill,Платформенные ограничения описаны как универсальные и частично устарели,planned,7198,audit://external-v3/leaves/FIX-MS-04.01.md,
FIX-DV-08.01,FIX-DV-08,P1,0,12,implementation,sheleg-dev,ADC precedence написан в обратном порядке,planned,5699,audit://external-v3/leaves/FIX-DV-08.01.md,
FIX-UP-05.04,FIX-UP-05,P1,0,12,implementation,sshlg-skills,Recovery boundaries,planned,5321,audit://external-v3/leaves/FIX-UP-05.04.md,"FIX-UP-05.01,FIX-UP-05.02,FIX-UP-05.03,FIX-UP-01.01,FIX-UP-01.02,FIX-UP-01.03"
FIX-AS-11.01,FIX-AS-11,P1,1,12,implementation,agent-stack,Approval grant contract,planned,4941,audit://external-v3/leaves/FIX-AS-11.01.md,
FIX-EV-01.07,FIX-EV-01,P1,1,12,verification,super-ux,Outcome corpus: ux-scenarios,planned,6271,audit://external-v3/leaves/FIX-EV-01.07.md,FIX-EV-01.01
FIX-EV-01.11,FIX-EV-01,P1,1,12,verification,task-pipeline,Outcome corpus: task-pipeline,planned,12068,audit://external-v3/leaves/FIX-EV-01.11.md,FIX-EV-01.01
FIX-VD-04.01,FIX-VD-04,P2,1,12,implementation,sheleg-design,shadcn назван unstyled: token mapping ошибочно подаётся как достаточное отсутствие чужой визуальной системы,planned,6141,audit://external-v3/leaves/FIX-VD-04.01.md,
FIX-DV-09.01,FIX-DV-09,P1,0,13,implementation,sheleg-dev,Per-principal OAuth client,planned,4476,audit://external-v3/leaves/FIX-DV-09.01.md,
FIX-AS-11.02,FIX-AS-11,P1,1,13,implementation,agent-stack,Threat model limits,planned,5546,audit://external-v3/leaves/FIX-AS-11.02.md,FIX-AS-11.01
FIX-EV-01.08,FIX-EV-01,P1,1,13,verification,super-ux,Outcome corpus: vision,planned,5017,audit://external-v3/leaves/FIX-EV-01.08.md,FIX-EV-01.01
FIX-PA-01.01,FIX-PA-01,P1,1,13,implementation,task-pipeline,Документированное решение автоматически оправдывает дефект,planned,5700,audit://external-v3/leaves/FIX-PA-01.01.md,
FIX-VD-05.01,FIX-VD-05,P1,1,13,implementation,sheleg-design,Button DOM contract,planned,6081,audit://external-v3/leaves/FIX-VD-05.01.md,
FIX-RT-04.01,FIX-RT-04,P2,2,13,implementation,sshlg-skills,Route gate принимает наличие pipeline run за доказательство любого пройденного маршрута,planned,5494,audit://external-v3/leaves/FIX-RT-04.01.md,"FIX-RT-01.01,FIX-RT-01.02"
FIX-DV-09.02,FIX-DV-09,P1,0,14,implementation,sheleg-dev,One-time OAuth state,planned,4544,audit://external-v3/leaves/FIX-DV-09.02.md,FIX-DV-09.01
FIX-EV-01.23,FIX-EV-01,P1,1,14,verification,agent-stack,Outcome corpus: agent-evals,planned,6058,audit://external-v3/leaves/FIX-EV-01.23.md,FIX-EV-01.01
FIX-PA-02.01,FIX-PA-02,P1,1,14,implementation,task-pipeline,Отсутствие production измерения запрещает считать доказанный механизм дефектом,planned,10833,audit://external-v3/leaves/FIX-PA-02.01.md,
FIX-UX-01.01,FIX-UX-01,P1,1,14,implementation,super-ux,Claim provenance schema,planned,4662,audit://external-v3/leaves/FIX-UX-01.01.md,
FIX-VD-05.02,FIX-VD-05,P1,1,14,implementation,sheleg-design,Heading semantic contract,planned,6053,audit://external-v3/leaves/FIX-VD-05.02.md,
FIX-UB-01.01,FIX-UB-01,P2,2,14,implementation,sshlg-skills,Аудитор bundle выдаёт расчёт стоимости каталога за фактический расход каждого сеанса,planned,5545,audit://external-v3/leaves/FIX-UB-01.01.md,
FIX-DV-10.01,FIX-DV-10,P1,0,15,implementation,sheleg-dev,"Nonce равен присланному клиентом значению, а не ожидаемому сервером",planned,7447,audit://external-v3/leaves/FIX-DV-10.01.md,
FIX-EV-01.24,FIX-EV-01,P1,1,15,verification,agent-stack,Outcome corpus: agent-harness,planned,5835,audit://external-v3/leaves/FIX-EV-01.24.md,FIX-EV-01.01
FIX-PF-01.01,FIX-PF-01,P1,1,15,implementation,task-pipeline,Attempt grant schema,planned,5732,audit://external-v3/leaves/FIX-PF-01.01.md,"CTX-01.01,CTX-01.02,CTX-01.03"
FIX-UX-01.02,FIX-UX-01,P1,1,15,implementation,super-ux,B030 scoped validation,planned,5053,audit://external-v3/leaves/FIX-UX-01.02.md,FIX-UX-01.01
FIX-VD-05.03,FIX-VD-05,P1,1,15,implementation,sheleg-design,Generated kit propagation,planned,5528,audit://external-v3/leaves/FIX-VD-05.03.md,"FIX-VD-05.01,FIX-VD-05.02"
FIX-UP-03.01,FIX-UP-03,P2,2,15,implementation,sshlg-skills,Explicit scope resolution,planned,4929,audit://external-v3/leaves/FIX-UP-03.01.md,FIX-UP-02.01
FIX-DV-11.01,FIX-DV-11,P1,0,16,implementation,sheleg-dev,"Auto-link по email игнорирует случаи, где Google не подтверждает текущее владение адресом",planned,6832,audit://external-v3/leaves/FIX-DV-11.01.md,
FIX-EV-01.25,FIX-EV-01,P1,1,16,verification,agent-stack,Outcome corpus: agent-interop,planned,4960,audit://external-v3/leaves/FIX-EV-01.25.md,FIX-EV-01.01
FIX-PF-01.02,FIX-PF-01,P1,1,16,implementation,task-pipeline,Authority boundary,planned,6500,audit://external-v3/leaves/FIX-PF-01.02.md,"FIX-PF-01.01,CTX-01.01,CTX-01.02,CTX-01.03"
FIX-UX-02.01,FIX-UX-02,P1,1,16,implementation,super-ux,B051 объявляет спамом текст без единого повторения,planned,7153,audit://external-v3/leaves/FIX-UX-02.01.md,
FIX-VD-07.01,FIX-VD-07,P2,1,16,implementation,"sshlg-skills,sheleg-design","Каталог внешнего frontend-design приписывает найденному skill запреты, которых его текущий файл не содержит",planned,7810,audit://external-v3/leaves/FIX-VD-07.01.md,
FIX-DV-12.01,FIX-DV-12,P1,0,17,implementation,sheleg-dev,Copy-paste FastAPI skeleton не исполняет заявленный CSRF contract,planned,6162,audit://external-v3/leaves/FIX-DV-12.01.md,
FIX-EV-01.26,FIX-EV-01,P1,1,17,verification,agent-stack,Outcome corpus: agent-orchestrator,planned,6435,audit://external-v3/leaves/FIX-EV-01.26.md,FIX-EV-01.01
FIX-PF-01.03,FIX-PF-01,P1,1,17,implementation,task-pipeline,Recovery and late worker,planned,6175,audit://external-v3/leaves/FIX-PF-01.03.md,"FIX-PF-01.02,CTX-01.01,CTX-01.02,CTX-01.03"
FIX-UX-03.01,FIX-UX-03,P1,1,17,implementation,super-ux,Advisory humanization contract,planned,6485,audit://external-v3/leaves/FIX-UX-03.01.md,
XD-01.01,XD-01,P2,1,17,implementation,sheleg-design,Зафиксировать источник и правила переноса,planned,4581,audit://external-v3/leaves/XD-01.01.md,
FIX-UP-03.02,FIX-UP-03,P2,2,17,implementation,sshlg-skills,All emitters obey target,planned,5895,audit://external-v3/leaves/FIX-UP-03.02.md,"FIX-UP-03.01,FIX-UP-02.01"
FIX-DV-14.01,FIX-DV-14,P1,0,18,implementation,sheleg-dev,Безусловный noscript pixel противоречит consent-gated архитектуре,planned,5154,audit://external-v3/leaves/FIX-DV-14.01.md,
FIX-PF-02.01,FIX-PF-02,P1,1,18,implementation,task-pipeline,Proof identity,planned,6298,audit://external-v3/leaves/FIX-PF-02.01.md,"FIX-PF-01.01,FIX-PF-01.02,FIX-PF-01.03"
FIX-PF-07.01,FIX-PF-07,P1,1,18,implementation,Fabric,Existing follower identity,planned,6363,audit://external-v3/leaves/FIX-PF-07.01.md,"FIX-PF-01.01,FIX-PF-01.02,FIX-PF-01.03"
FIX-UX-03.02,FIX-UX-03,P1,1,18,implementation,super-ux,B060 semantic safety,planned,5042,audit://external-v3/leaves/FIX-UX-03.02.md,FIX-UX-03.01
XD-03.01,XD-03,P2,1,18,implementation,sheleg-design,Создать контракт пригодности визуального доказательства,planned,4622,audit://external-v3/leaves/XD-03.01.md,XD-01.01
FIX-AS-05.01,FIX-AS-05,P2,2,18,implementation,agent-stack,Аудируемость ошибочно приравнена к статическому графу,planned,8256,audit://external-v3/leaves/FIX-AS-05.01.md,
FIX-UP-07.01,FIX-UP-07,P2,2,18,implementation,sshlg-skills,Read-only provider inventory,planned,5623,audit://external-v3/leaves/FIX-UP-07.01.md,
FIX-DV-15.01,FIX-DV-15,P1,0,19,implementation,sheleg-dev,URL credential scrubber,planned,4594,audit://external-v3/leaves/FIX-DV-15.01.md,
FIX-PF-02.02,FIX-PF-02,P1,1,19,implementation,task-pipeline,Revision invalidation,planned,5463,audit://external-v3/leaves/FIX-PF-02.02.md,"FIX-PF-02.01,FIX-PF-01.01,FIX-PF-01.02,FIX-PF-01.03"
FIX-PF-07.02,FIX-PF-07,P1,1,19,implementation,Fabric,Crash-safe dispatch reconciliation,planned,5247,audit://external-v3/leaves/FIX-PF-07.02.md,"FIX-PF-07.01,FIX-PF-01.01,FIX-PF-01.02,FIX-PF-01.03"
FIX-UX-05.01,FIX-UX-05,P1,1,19,implementation,super-ux,Runner outcome states,planned,4836,audit://external-v3/leaves/FIX-UX-05.01.md,
XD-05.01,XD-05,P2,1,19,implementation,sheleg-design,Добавить переносимый typography craft reference,planned,4511,audit://external-v3/leaves/XD-05.01.md,XD-01.01
FIX-AS-08.01,FIX-AS-08,P2,2,19,implementation,agent-stack,Proportion and trial units,planned,4512,audit://external-v3/leaves/FIX-AS-08.01.md,
FIX-DV-15.02,FIX-DV-15,P1,0,20,implementation,sheleg-dev,SDK channel coverage,planned,4694,audit://external-v3/leaves/FIX-DV-15.02.md,FIX-DV-15.01
